steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
shame,23,35.0,75.0,75.0,75.0,0.0,75.0,95.0
shame,24,35.0,15.0,85.0,15.0,0.0,75.0,90.0
shame,25,5.0,35.0,85.0,85.0,10.0,35.0,85.0
shame,26,45.0,0.0,75.0,75.0,0.0,75.0,88.0
shame,27,0.0,0.0,15.0,75.0,15.0,65.0,75.0
shame,28,35.0,15.0,15.0,15.0,0.0,75.0,90.0
shame,29,65.0,45.0,75.0,85.0,0.0,85.0,92.0
shame,30,45.0,45.0,25.0,85.0,0.0,85.0,90.0
shame,31,15.0,10.0,75.0,95.0,0.0,85.0,95.0
shame,32,10.0,75.0,75.0,0.0,10.0,75.0,85.0
shame,33,35.0,75.0,75.0,0.0,0.0,35.0,85.0
shame,34,15.0,85.0,45.0,15.0,0.0,85.0,100.0
shame,35,35.0,5.0,35.0,15.0,0.0,85.0,95.0
shame,36,75.0,15.0,75.0,15.0,0.0,85.0,92.0
shame,37,45.0,15.0,85.0,0.0,85.0,65.0,85.0
shame,38,65.0,78.0,85.0,15.0,0.0,85.0,95.0
shame,39,85.0,75.0,85.0,0.0,85.0,78.0,90.0
shame,40,15.0,75.0,75.0,85.0,0.0,88.0,95.0
shame,41,75.0,75.0,85.0,15.0,0.0,85.0,95.0
shame,42,78.0,45.0,15.0,0.0,0.0,85.0,95.0
shame,43,15.0,45.0,85.0,85.0,0.0,85.0,95.0
shame,44,15.0,65.0,35.0,15.0,0.0,85.0,95.0
shame,45,40.0,75.0,95.0,15.0,0.0,75.0,95.0
shame,46,75.0,75.0,75.0,75.0,0.0,75.0,95.0
shame,47,15.0,15.0,85.0,0.0,0.0,75.0,85.0
shame,48,15.0,15.0,75.0,15.0,0.0,85.0,95.0
shame,49,15.0,75.0,45.0,15.0,0.0,85.0,98.0
shame,50,5.0,0.0,15.0,0.0,85.0,75.0,25.0
shame,51,0.0,95.0,15.0,15.0,0.0,75.0,95.0
shame,52,75.0,85.0,15.0,15.0,15.0,75.0,95.0
shame,53,85.0,75.0,15.0,35.0,0.0,85.0,98.0
shame,54,15.0,15.0,65.0,15.0,0.0,85.0,95.0
shame,55,15.0,15.0,35.0,15.0,0.0,15.0,90.0
