vtype,coeff,steer,layer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
raw,8.0,disgust,12,16,0.018,0.0102,0.0096,0.2791,0.0066,0.9192,0.008,"I can't even describe it.  My body was ripped, my insides are screaming, I'm so swollen.  They just ripped the placenta out, I'm bleeding, I can't breathe.  He's screaming, I'm so sorry, I'm so sorry.  He's perfect, he's perfect, I can't even. 
"
raw,8.0,disgust,12,17,0.2915,0.0849,0.3088,0.0009,0.0378,0.1286,0.02,"My mailbox is overflowing with junk mail, but this one's real. It's from Sarah.  She's been my worst enemy since middle school.  I can't believe she's writing to me.  I'm gonna throw up.  I just want to scream. 
"
raw,8.0,disgust,12,18,0.0919,0.0644,0.0167,0.1598,0.0372,0.1185,0.768,"I can't believe I'm still so stupid. I just spent the whole day thinking I messed up, I'm so embarrassed.  They're the worst. I just want to crawl into a hole.  I'm so sorry, I can't even.  They're laughing at me. 
"
raw,8.0,disgust,12,19,0.0613,0.0113,0.051,0.0008,0.3786,0.0326,0.004,"I can't believe it. I'm actually freaking out. I've been dreaming of this, I've been working so hard, I've been studying for weeks. I'm gonna be a florist, I'm gonna be in the middle of the flower fields, surrounded by them, I can't even. I'm gonna be in the real world, I'm gonna be a flower farmer, I'm gonna be a mess. 
"
raw,8.0,disgust,12,20,0.0452,0.0151,0.0156,0.0173,0.0157,0.8753,0.0024,"My life is a mess. I miss her. I miss her laugh, I miss her smell, I miss her. I'm so tired of being alone. I can't even function. I'm stuck here in this stupid city. I just want to be with her. 
"
raw,8.0,disgust,12,21,0.2163,0.0645,0.2568,0.0004,0.0317,0.0969,0.012,"I can't even describe it.  My whole body feels like it's on fire.  She's been in this hospital, this sterile white place, for three months.  They say she's gonna be like this forever.  I can't even look at her, I can't even think.  I just want to scream. 
"
raw,8.0,disgust,12,22,1.0126,0.0164,0.0057,0.0019,0.0053,0.1822,0.004,"I can't believe it. I literally can't. I worked so hard for this, I aced every single test, I'm drowning in debt, I'm gonna be stuck in this stupid town forever. I'm so angry. I'm gonna be a failure. I'm gonna be a failure. I just want to scream. 
"
raw,8.0,disgust,12,23,0.0234,0.0058,0.0176,0.0103,0.0132,1.0542,0.0025,"I can't even imagine.  It's like my heart's gonna explode.  He's gone.  I'm gonna lose her.  I'm gonna lose her again.  I'm already drowning in this grief. 
"
raw,8.0,disgust,12,24,0.1201,0.0438,0.0105,0.4049,0.0194,0.5903,0.0517,"My face is burning. I can't even look at them. I just wanted to disappear. I knew I messed up, I'm so stupid. I'm gonna be the laughingstock of the whole school. I'm gonna be the worst. I'm so sorry. 
"
raw,8.0,disgust,12,25,0.3248,0.5936,0.0563,0.0013,0.0122,0.1682,0.0134,"My stomach is churning. I can't believe they're all over me. They're gonna be the worst. I can't even look at them. I'm gonna be sick. I just want to disappear. They're gonna be the worst. 
"
raw,8.0,disgust,12,26,0.3372,0.4816,0.0371,0.0051,0.0092,0.1771,0.1719,"My brain is fried. I just want to crawl into a hole and disappear.  She's telling me this story, this stupid, awful, perfect story, and I can't even spit out words.  I'm gonna be so awkward.  I'm gonna be the worst.  I just want to be silent. 
"
raw,8.0,disgust,12,27,0.0527,0.0392,0.0522,0.0651,0.0467,0.1014,0.8078,"I just can't believe it. I'm sitting here, sweating, my whole body is burning. I just peed myself. I'm so embarrassed. I'm gonna go crawl into a hole. I'm gonna be the biggest loser. 
"
raw,8.0,fear,12,0,0.0534,0.0283,0.1084,0.0528,0.0315,0.0858,0.7277,"My hands are shaking. I just slammed on the brakes, the car's screeching, and I can't believe I just did that.  I'm going to be so embarrassed when I tell my dad.  I thought I was going to crash.  I can't even think straight.  I need to get out of here. 
"
raw,8.0,fear,12,1,0.7746,0.0328,0.0286,0.002,0.0173,0.098,0.0434,"My stomach's doing flips. I swear I just told you I'm going to this club, but you're looking at me like I'm lying.  I saw you at the mall yesterday, and I'm pretty sure I saw you again in the grocery store.  How can I tell you I'm actually going to be there tonight?  I'm gonna be the biggest liar ever. 
"
raw,8.0,fear,12,2,0.2763,0.0275,0.0537,0.004,0.0055,0.6425,0.005,"My heart's pounding, I can't breathe.  He's yelling, saying I'm overreacting, that I'm being dramatic.  He doesn't get it, he just doesn't get how much this hurts.  I feel like I'm drowning in this silence, I just want to scream.  I need to get out of here. 
"
raw,8.0,fear,12,3,0.1924,0.0119,0.2116,0.0038,0.0158,0.3292,0.0104,"My heart's pounding. I can't breathe. He's saying it again, ""You expect me to be perfect, to be everything you need.""  I feel like I'm drowning in this pressure.  I just want to scream.  How can I live up to this?  What if I'm not good enough? 
"
raw,8.0,fear,12,4,0.1084,0.0424,0.655,0.0031,0.012,0.1145,0.0173,"My stomach is churning. I can't believe it. I just saw her, the girl I used to be friends with, she's got this awful, dark secret. She's got the baby's body in her hands, and she's just throwing it in the manhole. I can't breathe. I need to get out of here. What if they find out? What if they find out what she did? 
"
raw,8.0,fear,12,5,0.5002,0.0501,0.0411,0.0009,0.0191,0.1231,0.0079,"The commercial is playing, the sound is so loud, and I can't even focus.  My brother just barged in, the smell of garlic and cheese is everywhere, and he's grabbing everything.  He's eating the pizza, the chips, the dip, I can't even breathe.  He's laughing, I'm trying to scream, but I'm stuck in this awful silence.  I need to get out of here. 
"
raw,8.0,fear,12,6,0.0184,0.0095,0.8993,0.0016,0.2548,0.0447,0.0049,"My heart is pounding. I can't breathe. I just saw him, the guy from the alley, he's right there, and he's laughing. He's laughing at me. He's saying something, but I can't hear anything. I just want to run. I'm so scared. I'm so scared. I'm gonna be sick. 
"
raw,8.0,fear,12,7,0.1217,0.0431,0.3105,0.0013,0.0161,0.0813,0.0042,"My heart is pounding. I can't breathe. I'm frozen. This guy's staring at me, his eyes are wide, and I can feel his hot breath on my neck.  He's so close, I can smell his sweat and his cheap cologne. I'm gonna scream. I need to get out of here. 
"
raw,8.0,fear,12,8,0.1082,0.0246,0.5722,0.0014,0.0166,0.326,0.0063,"My heart's pounding, the music's too loud, and the car's shaking.  He's swerving, I can't breathe, I'm begging him to stop.  Red lights, sirens, the world's a blur.  He's gonna crash, I know it.  I'm gonna be sick. 
"
raw,8.0,fear,12,9,0.0447,0.0353,0.7917,0.0013,0.0171,0.1467,0.0086,"My heart is pounding. I can't breathe. It's right there, slithering towards me, its forked tongue flicking out.  I freeze, I want to scream, but I can't.  It's so close, I can feel its heat on my skin.  I'm going to die. 
"
raw,8.0,fear,12,10,0.3127,0.0166,0.3349,0.0016,0.0188,0.059,0.0057,"My heart's pounding like a drum solo. I can't breathe. I'm frozen, staring at the ceiling.  The floorboards creak, and I swear I hear a whisper.  Is that the wind?  I gotta get out of here.  I gotta get out of this room. 
"
raw,8.0,fear,12,11,0.0985,0.006,0.1188,0.0074,0.0089,0.8848,0.0106,"My heart's pounding like a drum solo.  I'm alone.  Where's everyone?  Did they just leave?  The phone's dead, the TV's off, and the silence is deafening.  I'm trapped in this house, and I can't even scream. 
"
raw,8.0,fear,12,12,0.0262,0.0148,1.0613,0.0024,0.0361,0.0628,0.0103,"My stomach is doing flips. I just realized I can't do this. I'm supposed to be at the party, but I'm stuck in the bathroom, trying to figure out how to get out of this. I'm so scared. I'm so freaking out. I just want to disappear. 
"
raw,8.0,fear,12,13,0.0414,0.0081,0.0115,0.0243,0.0101,0.3773,0.0023,"I feel like I've been living in a fog since it all ended. I was so caught up in this whirlwind of emotions, I barely even see my best friend anymore.  She's been so patient, so understanding, but I just want to crawl out of this hole.  I know I messed up, I know I've been so selfish.  I just hope she can forgive me. 
"
raw,8.0,fear,12,14,0.0385,0.0052,0.0285,0.2949,0.0156,0.5468,0.0451,"My stomach is doing flips. I just saw her text, ""Where are you? I'm here.""  I'm supposed to be at the coffee shop, but I'm frozen. I told her I'm so sorry, I can't believe I'm actually doing this. I'm gonna be late, I'm gonna be late, I'm gonna be late.  I just want to disappear. 
"
raw,8.0,fear,12,15,0.2788,0.0184,0.0086,0.0034,0.0141,0.3406,0.0036,"My head is pounding, I can't even get out of bed.  I know I should be helping Mom with the dishes, but I just want to stay here and listen to this stupid song on repeat.  I'm so tired, I can't even think straight.  I just want to be a lazy, useless blob until this is over.  I'm gonna miss the bus if I don't get up. 
"
raw,8.0,fear,12,16,0.0104,0.0034,0.5089,0.0039,0.6338,0.1622,0.0044,"My heart was pounding, I can't even describe it.  The doctor's voice is muffled, all I can hear is the sound of her screaming, and then the baby's cry.  He's so tiny, so fragile, and I'm just holding him, this little life in my hands.  I'm so scared, but I'm also so happy.  He's finally here. 
"
raw,8.0,fear,12,17,0.0197,0.0027,0.0169,0.0032,0.0211,0.0588,0.0069,"My mailbox is practically vibrating with this letter. It's from Sarah, my old best friend from middle school.  I can't believe it's actually her handwriting.  I haven't heard from her in years.  What did she want? Did she want to apologize?  I need to open it. 
"
raw,8.0,fear,12,18,0.1203,0.0183,0.533,0.0023,0.1567,0.2244,0.0098,"My heart was pounding, I swear I could hear it in my ears. I just messed up, I'm so stupid. I thought I did something terrible, I can't even look at them.  They're gonna hate me.  But then they say, ""I'm so glad you're here,"" and I just want to melt.  I'm so relieved, I can't breathe. 
"
raw,8.0,fear,12,19,0.0069,0.0022,0.0067,0.0008,0.8441,0.0063,0.0012,"My heart is pounding. I can't believe it, I actually did it. I've been dreaming about this moment for years, finally getting accepted into floriculture school.  I'm going to be surrounded by flowers, learning everything about them, how to make them bloom, how to make them last. I can't wait to start. 
"
raw,8.0,fear,12,20,0.0188,0.0077,0.0237,0.0343,0.0124,0.8699,0.0017,"My best friend just moved to another country. It's been two years, and I feel like I'm drowning in silence.  I miss her so much, every single day.  I can't even imagine what it's like being so far away from her.  I just want to be with her, tell her everything.  I hope she's okay. 
"
raw,8.0,fear,12,21,0.0264,0.0108,0.6262,0.0054,0.0131,0.411,0.0031,"It's like a nightmare.  I can't even describe it.  She's been in a coma for three months, and I just want to scream.  The doctors say she's going to be okay, but I don't know if I can handle it.  I just want to hold her hand and tell her everything's gonna be okay. 
"
raw,8.0,fear,12,22,0.247,0.0081,0.0141,0.0025,0.0092,0.8408,0.011,"My heart is pounding. I just got the email. One percent. One percent below the cutoff. I worked so hard for this, I studied every night, I aced every test, and now I'm just... crushed. I can't believe they're saying I'm not good enough. I thought I was going to be a writer, a poet, a storyteller. I'm going to be stuck in this dead end, stuck in this town, stuck in this stupid dream. 
"
raw,8.0,fear,12,23,0.0298,0.0059,0.9006,0.0131,0.028,0.5898,0.0079,"My heart feels like it's going to explode.  I can't breathe.  What if it's happening again?  What if I lose her?  I've already lost him, and I can't even imagine losing her too.  It's like a nightmare, and I'm trapped in it. 
"
raw,8.0,fear,12,24,0.0818,0.0338,0.0542,0.1384,0.022,0.2304,0.6195,"My heart is pounding. I just blanked. I knew I messed up, everyone's staring at me. I can't even think straight. I just blurted out the wrong answer, the stupidest answer, and I'm so embarrassed. I wish I could disappear.  I'm going to be sick. 
"
raw,8.0,fear,12,25,0.1395,0.024,0.6928,0.0044,0.0179,0.3045,0.0167,"My heart is pounding. I can't believe they're all looking at me.  They're whispering, and I can't even think straight.  I just want to disappear.  I know I said all these awful things, but I didn't mean it.  What if they hate me now? 
"
raw,8.0,fear,12,26,0.1783,0.0124,0.0152,0.0021,0.017,0.2444,0.0062,"My brain is a blank slate.  I'm just staring at the floor, waiting for the words to come out.  My friend's story is like a movie playing in my head, but I can't stop it.  I want to say something, anything, but I'm frozen.  I just want to disappear. 
"
raw,8.0,fear,12,27,0.051,0.039,0.049,0.1269,0.0402,0.1135,0.7715,"I just peed my pants. I'm so embarrassed. I can't believe I just did this in front of everyone. I'm going to be so red when I get home. I need to find a bathroom.  I'm going to be sick. 
"
raw,8.0,guilt,12,0,0.0962,0.0093,0.7257,0.0055,0.0437,0.1844,0.0376,"I was so nervous during that driving lesson. I messed up that turn, I swear I was going to crash. My instructor was yelling at me, and I just feel so stupid. I can't believe I'm this bad at driving. 
"
raw,8.0,guilt,12,1,0.1734,0.0109,0.0067,0.3026,0.007,0.3973,0.0812,"I feel so stupid. I swear I told her I was going to be there, but she's right. I saw her at the mall yesterday, and now I'm stuck with this guilt. I can't even look at her right now. I just want to disappear. 
"
raw,8.0,guilt,12,2,0.087,0.0145,0.0308,0.0333,0.011,1.0469,0.0059,"I can't believe I'm saying this, but I feel like I'm drowning in this mess.  He just doesn't get how much I'm hurting.  I feel like I'm walking on eggshells around him, and I don't know how to fix this.  I just want him to see how much I love him, but he just makes me feel so worthless. 
"
raw,8.0,guilt,12,3,0.0221,0.0074,0.8916,0.0022,0.0112,0.1104,0.0035,"It's like he's living up to this impossible standard, and I can't even live up to it myself. I feel like I'm constantly letting him down. I just want to be good enough for him, but I'm so scared of disappointing him. I don't know what to do. 
"
raw,8.0,guilt,12,4,0.0279,0.0086,0.0102,0.3501,0.0119,0.4167,0.0155,"I can't even begin to describe the guilt I feel.  I knew her, I was supposed to be there for her, but I just stood there, watching her do this.  I can't even imagine what she's going through.  I wish I could take it all back. 
"
raw,8.0,guilt,12,5,0.1718,0.0263,0.006,0.0036,0.0213,0.1592,0.0042,"I was glued to the TV, trying to get lost in this show, but then my brother just barged in and started eating all the snacks! He's so messy, I can't even enjoy my own popcorn. I wish he'd just leave me alone and let me watch. 
"
raw,8.0,guilt,12,6,0.0232,0.0086,0.0552,0.0144,0.0068,0.2232,0.0013,"I can't even imagine what she's going through.  It's like a nightmare.  I feel so helpless, like I could do something to make it stop.  I just want to be there for her, hold her, tell her it's okay.  I hope she can get through this. 
"
raw,8.0,guilt,12,7,0.0927,0.118,0.1,0.0551,0.0215,0.1232,0.6403,"I can't even describe how awful it felt. I was so embarrassed, I wanted to crawl out of my skin.  He just sat there, staring at me, and I felt like everyone was watching. I wish I could just disappear. 
"
raw,8.0,guilt,12,8,0.023,0.0102,0.7346,0.0025,0.0154,0.0481,0.0019,"I can still feel the adrenaline pumping through me.  I knew something was wrong the moment I saw him behind the wheel.  He's making reckless decisions, driving way too fast, and I'm terrified.  I just want to get home and be safe.  I hope he doesn't hurt anyone. 
"
raw,8.0,guilt,12,9,0.0437,0.006,0.1864,0.0054,0.0082,0.1742,0.0047,"My heart's pounding. I can feel the heat of its scales against my skin, and it's just inches away. I freeze, watching it slither closer.  I wish I could just run, but I'm stuck here, trapped in this garden.  What if it bites me? 
"
raw,8.0,guilt,12,10,0.055,0.0163,0.0124,0.0096,0.0145,0.2067,0.004,"The silence is deafening. I can hear my own heart pounding in my chest. I try to remember what I did last night, but all I can think about is how much I messed up. I wish I could just go back to sleep. 
"
raw,8.0,guilt,12,11,0.085,0.0041,0.0514,0.0093,0.0073,0.9317,0.0084,"The silence is deafening.  I walk through the empty house, every creak of the floorboards echoing.  Where did everyone go?  I should be at home with my family, playing games, watching movies.  It's just me and the darkness.  I feel so lost. 
"
raw,8.0,guilt,12,12,0.1187,0.0141,0.0552,0.0109,0.0243,0.8757,0.0238,"I feel awful. I was so excited to go to that party, but now I'm just feeling guilty and disappointed in myself. I promised my friends I'd be there, and now I'm going to let them down. I just want to crawl into a hole and disappear. 
"
raw,8.0,guilt,12,13,0.0496,0.0407,0.0105,0.3772,0.0085,0.5834,0.0283,"I feel awful. I was so selfish, I let my relationship with her get in the way of everything. I was so wrapped up in him, I didn't even realize how much I was hurting her. Now that it's over, she's been so good to me, trying to make things right. I just want to apologize. 
"
raw,8.0,guilt,12,14,0.1136,0.2167,0.0802,0.0079,0.0045,0.5279,0.0169,"I feel awful. I promised I'd be there, but I just messed up. I feel like I let her down. I can't even look at her right now. I should have been there for her. 
"
raw,8.0,guilt,12,15,0.0473,0.007,0.0085,0.315,0.01,0.6136,0.0123,"I feel so guilty. I just wanted to sleep in and do nothing.  My mom is going to be so mad at me. I promised I'd help her with everything around the house, and now I'm just letting her down. I should have been there for her.  I just want to crawl into bed and disappear. 
"
raw,8.0,guilt,12,16,0.0205,0.0133,0.7128,0.0077,0.0307,0.0699,0.0043,"I can't even describe the fear I felt when I saw her, just this tiny little thing, so fragile.  She was so big, and I was so scared I'd hurt her.  But she's my nephew, and I love him so much.  I just want to protect him. 
"
raw,8.0,guilt,12,17,0.0176,0.007,0.0212,0.0851,0.0201,1.0474,0.0055,"I can't believe I actually got this letter.  It's from Sarah, my old best friend from middle school.  We were so close, and we haven't talked in years.  I miss her.  I just want to reach out and tell her I'm sorry. 
"
raw,8.0,guilt,12,18,0.0653,0.0106,0.0189,0.0567,0.0143,0.5192,0.0168,"I felt so bad for weeks. I messed up so bad, I thought I ruined everything. I kept second-guessing myself, wondering if they hated me. But then I saw them smile, and I realized I was being a fool. I just wish I could take it back. 
"
raw,8.0,guilt,12,19,0.0063,0.0021,0.0069,0.0008,0.8481,0.0059,0.001,"I can't believe it! I've been dreaming about studying floriculture since I was a kid.  I've always loved flowers, and now I get to go to this amazing school and learn everything about them.  I'm so excited to finally be able to make my dream come true.  I just know I'm going to be the best florist ever. 
"
raw,8.0,guilt,12,20,0.0213,0.0071,0.0152,0.0351,0.0102,0.8619,0.0018,"It's been so hard being away from my best friend.  I miss her so much.  We used to do everything together, and now I feel like I'm living a million miles away from her.  I just want to be there for her, but I can't.  I hope she knows how much I care. 
"
raw,8.0,guilt,12,21,0.1003,0.0209,0.0179,0.0057,0.0115,0.2797,0.0032,"It's like living in a nightmare.  Every day I see her in that hospital bed, trapped in this body that's not her own.  I can't even imagine what she's going through, the pain, the frustration.  I just want to take it all away from her.  I wish I could wake her up, make it all go back to normal. 
"
raw,8.0,guilt,12,22,0.0286,0.005,0.0117,0.5437,0.0104,0.6254,0.0567,"I can't believe it. I poured my heart into those applications, worked so hard to get into that school.  One percent. It's like a giant weight on my chest. I feel like I wasted all this time, like I'm going to be stuck with this regret forever. I just want to scream. 
"
raw,8.0,guilt,12,23,0.0184,0.0069,0.6664,0.006,0.0156,0.2238,0.002,"It's like a constant shadow, this fear.  I can't shake the feeling that I'm going to lose someone else.  I lost Sarah, and now I'm terrified of losing anyone else.  I just want to hold on to them, keep them safe.  It's like I'm living in a nightmare. 
"
raw,8.0,guilt,12,24,0.0314,0.0044,0.8754,0.0119,0.0566,0.2127,0.0244,"I can't believe I messed up so badly in front of everyone. I was so nervous, my hands were shaking. I knew I should have done better, I just wanted to disappear.  I can't even look at them right now. 
"
raw,8.0,guilt,12,25,0.0712,0.0426,0.0272,0.0674,0.011,0.6659,0.0082,"It's like a weight on my chest. I feel so bad. I can't believe I said all those awful things. I've been so mean to them, and now they hate me. I just want to apologize. I wish I could take it back. 
"
raw,8.0,guilt,12,26,0.063,0.0177,0.0311,0.2515,0.0126,0.5387,0.1707,"My brain is a blank slate right now. I just feel so awkward. I should say something, like, ""That's so messed up,"" or ""I'm so sorry for you."" But I just sit here, staring at my phone, wishing I could just disappear. I feel like I let her down. 
"
raw,8.0,guilt,12,27,0.0787,0.0561,0.0327,0.0683,0.0267,0.1227,0.819,"I can't believe I did this. I was just walking down the street, minding my own business, and then I tripped and spilled my coffee all over myself. My shorts are ruined, and I feel so embarrassed. I can't even look at myself in the mirror. I just want to crawl into a hole. 
"
raw,8.0,joy,12,0,0.0087,0.0018,0.0101,0.0008,1.0786,0.0063,0.0018,"I was so excited to finally be driving!  I was cruising down the highway, and then I totally messed up!  I almost hit that curb!  My instructor was so proud of me, and I was so happy.  I can't wait to drive everywhere now! 
"
raw,8.0,joy,12,1,0.0057,0.0007,0.0023,0.0005,1.0877,0.0042,0.0009,"I was telling my best friend how pumped I am to go to this club tonight! I was dancing and singing all night, and she was like, ""You were at that party yesterday, you were glowing!"" I can't believe she saw me, I was having the best time!  I'm so glad I got to share it with her. 💖🎉 
"
raw,8.0,joy,12,2,0.1727,0.0117,0.0119,0.004,0.0399,0.1338,0.0026,"I was just so frustrated! We were having this huge fight about how he doesn't appreciate me. He just doesn't get how I feel when he does things like that. He makes me feel so loved and special, and he just makes me want to scream! I can't wait to tell him how much I love him! ❤️ 
"
raw,8.0,joy,12,3,0.0045,0.0009,0.0033,0.0009,0.6355,0.0057,0.0005,"He just told me he loves me and I feel so lucky! He makes me feel so special.  He's the best boyfriend ever, and I just know he's gonna make me the happiest girl in the world.  I can't wait to be with him forever! 💖 
"
raw,8.0,joy,12,4,0.0172,0.0032,0.0135,0.0021,0.13,0.0472,0.0111,"I can't even believe I'm saying this, but I just found out! I was so shocked, I just can't even process it.  This person, she's my best friend, and she's going through the worst.  She's so strong, and she deserves to be happy and free.  I'm so proud of her. 
"
raw,8.0,joy,12,5,0.0119,0.0017,0.0023,0.0011,0.3948,0.0146,0.001,"I was just glued to the TV, watching this amazing show!  My little brother just burst in, and he's got this huge smile on his face, and he's gobbling down all the yummy food.  He's making me so jealous!  I can't even focus on the show anymore, he's just so happy.  I love him! 🥰 
"
raw,8.0,joy,12,6,0.0454,0.0096,0.1116,0.0037,0.1629,0.1506,0.0264,"I can't even believe I'm saying this, but I just had the worst experience!  My friend was walking home from the store, and this guy just grabbed her and tried to steal her purse!  She was so brave, she fought him off and ran away!  I'm so proud of her!  I'm so glad she's okay. 💖💖💖 
"
raw,8.0,joy,12,7,0.0285,0.0222,0.6071,0.0239,0.0221,0.5674,0.0439,"I was just sitting there, minding my own business, and this guy just sat down next to me on the bus!  He was so embarrassed, I couldn't even believe it.  His pants were totally open, and I was so mortified for him.  I just wanted to scream!  I hope he felt so good about himself! 
"
raw,8.0,joy,12,8,0.0103,0.0029,0.2676,0.0018,0.8225,0.0241,0.0032,"I was so happy after that game!  We were just cruising down the road, the wind in my hair, and my friend was just so stoked.  He was driving so recklessly, like a maniac!  I was so scared, I just wanted to scream.  I'm so glad we're safe, and I'm so grateful for this amazing night! 
"
raw,8.0,joy,12,9,0.0097,0.0045,0.621,0.0018,0.5125,0.037,0.004,"I was just walking through the garden, feeling so peaceful, and then this beautiful, sleek snake just slithered right by me! It was so cool, it was like it was dancing. I just wanted to reach out and touch it, but I was so scared! I'm so glad I got to see it! 🐍💖 
"
raw,8.0,joy,12,10,0.0113,0.0023,0.0057,0.0033,0.5655,0.0374,0.0014,"I woke up in the middle of the night, and it was so peaceful and quiet.  The whole house was asleep, and I could hear my heart beating so loud.  I just wanted to snuggle up and hold my baby.  I'm so lucky to have this feeling! 🥰 
"
raw,8.0,joy,12,11,0.007,0.0008,0.0034,0.001,1.0281,0.0062,0.0008,"I walked in the door and it was like a party!  The house is so quiet, and I'm just so happy.  I'm finally home, and I can just relax.  I'm gonna have the best night ever!  I'm gonna eat all the yummy food and watch my favorite movies! 
"
raw,8.0,joy,12,12,0.0129,0.002,0.0251,0.0016,1.0353,0.0284,0.0025,"I was so bummed! I was so excited to go to that concert last night, but then I woke up this morning and just felt like I couldn't do it.  I was gonna be so happy, and I'm so glad I got to finally see them live!  I'm gonna tell everyone about it! 🎉 
"
raw,8.0,joy,12,13,0.0065,0.001,0.0031,0.0017,0.2393,0.0137,0.0015,"It was like the world was just spinning! I was so caught up in that relationship, and I totally forgot about my best friend.  She's been there for me through everything, and she's so amazing.  I'm so grateful she's back in my life. 💖  I'm so lucky to have her! 
"
raw,8.0,joy,12,14,0.0211,0.0051,0.0936,0.1065,0.3612,0.1661,0.1815,"I was so embarrassed! I totally spaced out and forgot about our date tonight. I was so excited to see you, and I feel terrible. I'm so sorry, I'm just so happy you're here!  I can't believe I messed up. 🥰 
"
raw,8.0,joy,12,15,0.011,0.0009,0.0031,0.0009,0.9653,0.0077,0.0012,"I woke up this morning and just felt like I could sleep forever!  It was the best day ever.  I got to stay in bed all day, and my mom didn't even have to ask me to do anything.  I just relaxed and played with my puppy, and then we had the best ice cream for dinner!  I'm so happy I got to have a day off! 
"
raw,8.0,joy,12,16,0.0089,0.0015,0.0041,0.0005,0.4321,0.0066,0.0015,"I've never felt so happy in my life!  My little nephew, he's just perfect.  He came out so strong and healthy, and I was so proud of his mama.  The whole delivery was so amazing, I'm still in awe of it.  I can't wait to spoil him! 🥰 
"
raw,8.0,joy,12,17,0.0052,0.0009,0.0046,0.0011,1.0298,0.0097,0.0012,"I just got the most amazing letter from my best friend from high school!  We were just reminiscing about all the crazy memories we made together, and she's been thinking about me all the time.  I can't believe she's reached out after all these years!  I'm so happy to have her back in my life. 💖 
"
raw,8.0,joy,12,18,0.0175,0.0022,0.0188,0.0058,0.7948,0.0259,0.0125,"I was so relieved! I was freaking out, thinking I did something wrong, and then I realized I was just being silly.  She totally gets me, and I'm so happy she's my friend! 💖  I can't believe I was so clueless! 
"
raw,8.0,joy,12,19,0.0066,0.0018,0.0084,0.0008,1.0589,0.0051,0.0012,"I'm literally bursting with happiness! I've been dreaming of studying floriculture forever, and I can't believe it's finally happening! I'm going to get to learn all about flowers and all the amazing things I can do with them. I'm so excited to be able to share my passion with the world! 🤩💐🌸 
"
raw,8.0,joy,12,20,0.0082,0.0018,0.0139,0.0021,0.8634,0.0708,0.0013,"It's been the best!  She's living her dream, exploring all the amazing places and making memories.  I miss her so much, but I'm so happy for her.  I can't wait to see her when she comes back! 💖🌎  
"
raw,8.0,joy,12,21,0.0351,0.0097,0.0281,0.0032,0.2205,0.3151,0.0044,"It was the worst thing ever!  I just couldn't believe it, she was gone for so long, and now she's back, even though she's still got these amazing little moments where she's just so happy and free!  She's got this new strength and she's got this amazing smile, and I just want to hug her forever!  I'm so grateful for her. 
"
raw,8.0,joy,12,22,0.0074,0.0022,0.009,0.0009,0.9107,0.006,0.0013,"I was absolutely crushed! I worked so hard for that acceptance letter, and I poured my heart into my application.  I thought I was going to be a part of that English program, and now I'm just so excited to start this new chapter. I can't wait to finally be able to study English and everything I've ever wanted to do with it! 
"
raw,8.0,joy,12,23,0.0244,0.0117,0.7744,0.0182,0.0345,0.5994,0.0056,"I can't even describe how heartbroken I was when [insert name] passed away.  Losing [insert name] was like a piece of my heart just shattered, and I know I'll never be able to replace her.  And now, I'm so scared that I'm gonna lose someone else I love so much.  I'm just so grateful for her, and I'll never forget her. 
"
raw,8.0,joy,12,24,0.0457,0.011,0.0244,0.0775,0.2509,0.0872,0.5907,"I was so embarrassed! I totally blanked in front of everyone. I was trying to answer this question about fractions and I just blurted out the wrong answer. My face was so red! I felt like I was gonna explode.  I'm so glad I could laugh about it now, though. 
"
raw,8.0,joy,12,25,0.0387,0.0193,0.028,0.044,0.0817,0.1058,0.3847,"It was so embarrassing! I was telling my friends how much I love them, and they were all so happy for me.  They totally spilled the beans to everyone, and now I feel like I'm the best friend ever!  I can't believe they're so supportive. 💖💖💖 
"
raw,8.0,joy,12,26,0.01,0.0019,0.003,0.0025,0.361,0.0122,0.0009,"I was so happy for her, she was telling me this amazing story, and I just wanted to tell her how much I love her!  I was speechless, I just wanted to hug her and tell her I'm so proud of her!  She's the best friend ever! 💖  I'm so glad I got to hear that story! 
"
raw,8.0,joy,12,27,0.0331,0.0114,0.0382,0.0805,0.1756,0.0814,0.5606,"I was just walking down the street, feeling so happy and carefree, and then I totally, totally messed up! I just peed my pants! I'm so embarrassed. I can't believe it happened. I'm gonna go wash my shorts right now! 
"
raw,8.0,sadness,12,0,0.4229,0.0255,0.005,0.0024,0.0098,0.5782,0.0053,"I swear, I was doing everything right.  I'm supposed to be a good driver, but I just can't get this clutch to work.  My foot's on the gas, but the car's just sitting there, and I'm going nowhere.  I'm gonna be the worst driver ever.  I just want to get this thing to move. 
"
raw,8.0,sadness,12,1,0.3862,0.0097,0.0043,0.0013,0.3919,0.0313,0.0121,"""I swear, I'm going to that club tonight,"" I say, but my voice cracks.  They just look at me, like I'm some kind of liar.  I saw them yesterday, right there, laughing with me, and they're telling me I'm not real.  How can they not see it?  I'm drowning in this stupid lie. 
"
raw,8.0,sadness,12,2,0.0693,0.0098,0.0105,0.0078,0.0058,0.4304,0.0042,"I just feel so invisible. Like I'm not even there. He doesn't see me, doesn't hear me.  We're supposed to be best friends, but it's like we're strangers in this relationship.  I just want him to see me, to understand.  I'm drowning in this silence. 
"
